Observed Water Content,VG Fitted Water Content,"Suction, h(cm)",SWC_DNN_5HiddenLayers
0.343,0.343,36.469,0.34283853458176294
0.342,0.342,36.757,0.3404953251624101
0.34,0.341,37.04,0.338192803038617
0.338,0.341,37.04,0.338192803038617
0.339,0.34,37.325,0.33587409271097074
0.336,0.34,37.325,0.33587409271097074
0.337,0.339,37.605,0.333595759332715
0.333,0.339,37.605,0.333595759332715
0.33,0.338,37.896,0.3316754832832127
0.331,0.337,38.181,0.33020646425541095
0.333,0.337,38.177,0.3302271159674028
0.329,0.337,38.175,0.33023733000749955
0.329,0.336,38.463,0.3287528301825538
0.328,0.336,38.751,0.3258435721702255
0.326,0.336,38.746,0.32593255937031773
0.325,0.335,39.03,0.323066284302418
0.324,0.334,39.317,0.3219647835976147
0.324,0.334,39.317,0.3219647835976147
0.319,0.334,39.316,0.3219686446690722
0.321,0.334,39.598,0.3208863352237001
